"2","PROBABLE_NEGATED_EXISTENCE"
"3","DEFINITE_NEGATED_EXISTENCE"
"4","INDICATION"
"5","HISTORICAL"
"6","CONJ"
"7","PROBABLE_EXISTENCE"
"8","UNCERTAINTY"
"9","DEFINITE_EXISTENCE"
"10","PSEUDONEG"
